▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Panasonic->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Panasonic->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Asus->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Bosch->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = null, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Washy washy->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Asus->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = PS4->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Asus->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Asus->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 1, DeviceName = PS4->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 2, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#1, eventName = SwitchedOnEvent, eventTime = 2, DeviceName = Panasonic->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 2, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 2, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 2, DeviceName = PS4->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = LivingRoom, eventName = SwitchedOnEvent, eventTime = 2, DeviceName = PS4->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Attic, eventName = SwitchedOnEvent, eventTime = 3, DeviceName = Washy washy->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#1, eventName = SwitchedOnEvent, eventTime = 3, DeviceName = Panasonic->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = Kitchen, eventName = SwitchedOnEvent, eventTime = 3, DeviceName = Asus->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#1, eventName = SwitchedOnEvent, eventTime = 3, DeviceName = Panasonic->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#1, eventName = SwitchedOnEvent, eventTime = 3, DeviceName = Panasonic->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 3, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 3, DeviceName = Runner 3000->SWITCHED_ON, isNeedsEvent = false
▽Event: eventRoom = BedRoom#2, eventName = SwitchedOnEvent, eventTime = 3, DeviceName = Runner 3000->SWITCHED_OFF, isNeedsEvent = false
